용어명,중요도,속성
"스케일 업 ",⭐️⭐️⭐️⭐️,2022년 8월 8일 오후 2:20
스케일 아웃,⭐️⭐️⭐️⭐️,2022년 8월 8일 오후 2:20
스케일,⭐️⭐️⭐️,2022년 8월 8일 오후 2:20
